,Population 2016,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,,
,,,,,,,,,,,
PSE,125,,West Bank and Gaza,"4,552",,,,,,,
OMN,126,,Oman,"4,425",,,,,,,
MRT,127,,Mauritania,"4,301",,,,,,,
HRV,128,,Croatia,"4,171",,,,,,,
KWT,129,,Kuwait,"4,053",,,,,,,
PAN,130,,Panama,"4,034",,,,,,,
GEO,131,,Georgia,"3,719",a,,,,,,
MDA,132,,Moldova,"3,552",b,,,,,,
BIH,133,,Bosnia and Herzegovina,"3,517",,,,,,,
URY,134,,Uruguay,"3,444",,,,,,,
PRI,135,,Puerto Rico,"3,411",,,,,,,
MNG,136,,Mongolia,"3,027",,,,,,,
ARM,137,,Armenia,"2,925",,,,,,,
JAM,138,,Jamaica,"2,881",,,,,,,
ALB,139,,Albania,"2,876",,,,,,,
LTU,140,,Lithuania,"2,872",,,,,,,
QAT,141,,Qatar,"2,570",,,,,,,
NAM,142,,Namibia,"2,480",,,,,,,
BWA,143,,Botswana,"2,250",,,,,,,
LSO,144,,Lesotho,"2,204",,,,,,,
MKD,145,,"Macedonia, FYR","2,081",,,,,,,
SVN,146,,Slovenia,"2,065",,,,,,,
GMB,147,,"Gambia, The","2,039",,,,,,,
GAB,148,,Gabon,"1,980",,,,,,,
LVA,149,,Latvia,"1,960",,,,,,,
XKX,150,,Kosovo,"1,816",,,,,,,
GNB,151,,Guinea-Bissau,"1,816",,,,,,,
BHR,152,,Bahrain,"1,425",,,,,,,
TTO,153,,Trinidad and Tobago,"1,365",,,,,,,
SWZ,154,,Swaziland,"1,343",,,,,,,
EST,155,,Estonia,"1,316",,,,,,,
TLS,156,,Timor-Leste,"1,269",,,,,,,
MUS,157,,Mauritius,"1,263",,,,,,,
GNQ,158,,Equatorial Guinea,"1,221",,,,,,,
CYP,159,,Cyprus,"1,170",,,,,,,
DJI,160,,Djibouti,942,,,,,,,
FJI,161,,Fiji,899,,,,,,,
BTN,162,,Bhutan,798,,,,,,,
COM,163,,Comoros,796,,,,,,,
GUY,164,,Guyana,773,,,,,,,
MNE,165,,Montenegro,623,,,,,,,
MAC,166,,"Macao SAR, China",612,,,,,,,
SLB,167,,Solomon Islands,599,,,,,,,
LUX,168,,Luxembourg,583,,,,,,,
SUR,169,,Suriname,558,,,,,,,
CPV,170,,Cabo Verde,540,,,,,,,
MLT,171,,Malta,437,,,,,,,
BRN,172,,Brunei Darussalam,423,,,,,,,
MDV,173,,Maldives,417,,,,,,,
BHS,174,,"Bahamas, The",391,,,,,,,
BLZ,175,,Belize,367,,,,,,,
ISL,176,,Iceland,334,,,,,,,
BRB,177,,Barbados,285,,,,,,,
PYF,178,,French Polynesia,280,,,,,,,
NCL,179,,New Caledonia,278,,,,,,,
VUT,180,,Vanuatu,270,,,,,,,
STP,181,,São Tomé and Principe,200,,,,,,,
WSM,182,,Samoa,195,,,,,,,
LCA,183,,St. Lucia,178,,,,,,,
CHI,184,,Channel Islands,165,,,,,,,
GUM,185,,Guam,163,,,,,,,
CUW,186,,Curaçao,160,,,,,,,
KIR,187,,Kiribati,114,,,,,,,
VCT,188,,St. Vincent and the Grenadines,110,,,,,,,
GRD,189,,Grenada,107,,,,,,,
TON,190,,Tonga,107,,,,,,,
