Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Myanmar,22.0,98.0,Battle-related deaths (number of people),VC.BTL.DETH,MMR,536,777,1617,130,685,317,229,323,61,25,215,193,271,38,27,139,244,348,46,188,150,713,702,278,187,625,116,..
Namibia,-22.0,17.0,Battle-related deaths (number of people),VC.BTL.DETH,NAM,..,..,..,..,..,..,..,..,..,1,57,..,5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nauru,-0.5333,166.9167,Battle-related deaths (number of people),VC.BTL.DETH,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,28.0,84.0,Battle-related deaths (number of people),VC.BTL.DETH,NPL,..,..,..,..,..,..,44,40,250,156,268,429,3947,1341,1880,1104,457,..,..,..,..,..,..,..,..,..,..,..
Netherlands,52.5,5.75,Battle-related deaths (number of people),VC.BTL.DETH,NLD,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Caledonia,-21.5,165.5,Battle-related deaths (number of people),VC.BTL.DETH,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,-41.0,174.0,Battle-related deaths (number of people),VC.BTL.DETH,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,13.0,-85.0,Battle-related deaths (number of people),VC.BTL.DETH,NIC,39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Niger,16.0,8.0,Battle-related deaths (number of people),VC.BTL.DETH,NER,..,40,29,..,50,34,..,62,..,..,..,..,..,..,4,..,..,81,47,..,..,..,..,31,..,332,274,..
Nigeria,10.0,8.0,Battle-related deaths (number of people),VC.BTL.DETH,NGA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,128,..,..,..,..,405,..,324,811,1629,3811,4493,2430,..
Northern Mariana Islands,15.2,145.75,Battle-related deaths (number of people),VC.BTL.DETH,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,62.0,10.0,Battle-related deaths (number of people),VC.BTL.DETH,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,21.0,57.0,Battle-related deaths (number of people),VC.BTL.DETH,OMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,30.0,70.0,Battle-related deaths (number of people),VC.BTL.DETH,PAK,72,26,..,..,38,69,42,..,..,..,1,20,32,174,359,110,419,747,3537,6864,6052,2863,3018,1802,3136,2077,761,..
Palau,7.5,134.5,Battle-related deaths (number of people),VC.BTL.DETH,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Panama,9.0,-80.0,Battle-related deaths (number of people),VC.BTL.DETH,PAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,-6.0,147.0,Battle-related deaths (number of people),VC.BTL.DETH,PNG,55,..,33,34,26,29,78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Paraguay,-23.0,-58.0,Battle-related deaths (number of people),VC.BTL.DETH,PRY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Peru,-10.0,-76.0,Battle-related deaths (number of people),VC.BTL.DETH,PER,1099,1138,1036,672,253,259,80,93,25,75,..,..,..,..,..,..,..,32,40,50,28,..,..,..,..,..,..,..
Philippines,13.0,122.0,Battle-related deaths (number of people),VC.BTL.DETH,PHL,1306,1515,430,253,265,152,180,302,93,199,1567,749,662,1056,339,470,360,439,481,894,332,350,295,514,470,572,414,..
Poland,52.0,20.0,Battle-related deaths (number of people),VC.BTL.DETH,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Portugal,39.5,-8.0,Battle-related deaths (number of people),VC.BTL.DETH,PRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,18.25,-66.5,Battle-related deaths (number of people),VC.BTL.DETH,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,25.5,51.25,Battle-related deaths (number of people),VC.BTL.DETH,QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,46.0,25.0,Battle-related deaths (number of people),VC.BTL.DETH,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,60.0,100.0,Battle-related deaths (number of people),VC.BTL.DETH,RUS,192,220,..,145,229,1754,2721,..,..,5854,2907,791,1298,480,1151,668,259,176,404,696,418,356,516,321,168,84,66,..
Rwanda,-2.0,30.0,Battle-related deaths (number of people),VC.BTL.DETH,RWA,1126,153,87,353,1054,..,90,535,1095,..,..,2044,..,..,..,..,..,..,..,..,..,..,13,1,..,..,..,..
Samoa,-13.5833,-172.3333,Battle-related deaths (number of people),VC.BTL.DETH,WSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
San Marino,43.7667,12.4167,Battle-related deaths (number of people),VC.BTL.DETH,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,1.0,7.0,Battle-related deaths (number of people),VC.BTL.DETH,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,25.0,45.0,Battle-related deaths (number of people),VC.BTL.DETH,SAU,..,101,..,..,..,..,..,..,..,..,..,..,..,..,58,31,11,2,..,..,..,..,..,..,..,78,110,..
Senegal,14.0,-14.0,Battle-related deaths (number of people),VC.BTL.DETH,SEN,58,..,76,233,..,299,..,319,242,..,47,33,..,39,..,..,..,..,..,..,..,25,..,..,..,..,..,..
Serbia,44.0,21.0,Battle-related deaths (number of people),VC.BTL.DETH,SRB,..,3022,142,..,..,..,..,..,1235,1398,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Seychelles,-4.5833,55.6667,Battle-related deaths (number of people),VC.BTL.DETH,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,8.5,-11.5,Battle-related deaths (number of people),VC.BTL.DETH,SLE,..,552,218,410,628,1472,570,748,3287,3153,382,50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,1.3667,103.8,Battle-related deaths (number of people),VC.BTL.DETH,SGP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,46.0,15.0,Battle-related deaths (number of people),VC.BTL.DETH,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,-8.0,159.0,Battle-related deaths (number of people),VC.BTL.DETH,SLB,..,..,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Somalia,10.0,49.0,Battle-related deaths (number of people),VC.BTL.DETH,SOM,2650,8005,1154,25,237,104,440,..,..,25,..,228,114,..,..,..,547,1579,1529,1481,2151,1937,2600,896,1104,1173,1925,..
South Africa,-29.0,24.0,Battle-related deaths (number of people),VC.BTL.DETH,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,40.0,-4.0,Battle-related deaths (number of people),VC.BTL.DETH,ESP,..,44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sri Lanka,7.0,81.0,Battle-related deaths (number of people),VC.BTL.DETH,LKA,3622,6432,4091,2075,657,4755,3868,2880,3762,1882,2525,1144,..,29,..,88,1970,2494,8262,10165,..,..,..,..,..,..,..,..
Sudan,15.0,30.0,Battle-related deaths (number of people),VC.BTL.DETH,SDN,5030,1313,1083,942,337,1036,2289,3859,4891,1408,2841,3457,2312,2008,3673,246,1030,217,620,373,1054,1404,1411,593,849,1264,1314,..
Suriname,4.0,-56.0,Battle-related deaths (number of people),VC.BTL.DETH,SUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Swaziland,-26.5,31.5,Battle-related deaths (number of people),VC.BTL.DETH,SWZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,62.0,15.0,Battle-related deaths (number of people),VC.BTL.DETH,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Switzerland,47.0,8.0,Battle-related deaths (number of people),VC.BTL.DETH,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,35.0,38.0,Battle-related deaths (number of people),VC.BTL.DETH,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,..,965,38500,69086,57529,46643,44303,..
Tajikistan,39.0,71.0,Battle-related deaths (number of people),VC.BTL.DETH,TJK,..,..,3281,1045,356,368,2790,87,600,3,46,..,..,..,..,..,..,..,..,..,98,28,..,..,..,..,..,..
Thailand,15.0,100.0,Battle-related deaths (number of people),VC.BTL.DETH,THA,19,..,..,..,..,..,..,1,3,..,8,22,23,26,164,208,212,197,148,138,82,161,131,189,68,53,50,..
Timor-Leste,-8.55,125.5167,Battle-related deaths (number of people),VC.BTL.DETH,TLS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Togo,8.0,1.1667,Battle-related deaths (number of people),VC.BTL.DETH,TGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tonga,-20.0,-175.0,Battle-related deaths (number of people),VC.BTL.DETH,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,11.0,-61.0,Battle-related deaths (number of people),VC.BTL.DETH,TTO,39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia,34.0,9.0,Battle-related deaths (number of people),VC.BTL.DETH,TUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkey,39.0,35.0,Battle-related deaths (number of people),VC.BTL.DETH,TUR,245,344,1563,2117,3865,3006,3283,2273,1920,1129,121,81,25,79,183,359,210,453,429,126,197,421,743,19,..,899,1398,..
Turkmenistan,40.0,60.0,Battle-related deaths (number of people),VC.BTL.DETH,TKM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turks and Caicos Islands,21.75,-71.5833,Battle-related deaths (number of people),VC.BTL.DETH,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,-8.0,178.0,Battle-related deaths (number of people),VC.BTL.DETH,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,1.0,32.0,Battle-related deaths (number of people),VC.BTL.DETH,UGA,626,857,72,..,149,259,1155,738,746,341,364,108,722,633,1215,610,198,91,..,..,..,..,..,..,..,..,..,..
Ukraine,49.0,32.0,Battle-related deaths (number of people),VC.BTL.DETH,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4353,1304,255,..
United Arab Emirates,24.0,54.0,Battle-related deaths (number of people),VC.BTL.DETH,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United Kingdom,54.0,-2.0,Battle-related deaths (number of people),VC.BTL.DETH,GBR,41,26,..,..,..,..,..,..,29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,38.0,-97.0,Battle-related deaths (number of people),VC.BTL.DETH,USA,..,..,..,..,..,..,..,..,..,..,..,233,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,-33.0,-56.0,Battle-related deaths (number of people),VC.BTL.DETH,URY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,41.0,64.0,Battle-related deaths (number of people),VC.BTL.DETH,UZB,..,..,..,..,..,..,..,..,..,50,297,..,..,..,37,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,-16.0,167.0,Battle-related deaths (number of people),VC.BTL.DETH,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zambia,-15.0,30.0,Battle-related deaths (number of people),VC.BTL.DETH,ZMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Zimbabwe,-20.0,30.0,Battle-related deaths (number of people),VC.BTL.DETH,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,33.0,65.0,Battle-related deaths (number of people),VC.BTL.DETH,AFG,1478,3302,4276,4071,8937,5499,3177,6396,6256,4629,5235,5148,890,687,715,1595,4750,6906,5552,6341,6864,7405,7719,8056,12285,17273,17980,..
