Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Cameroon,6.0,12.0,Battle-related deaths (number of people),VC.BTL.DETH,CMR,..,..,..,..,..,..,56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,969,924,181,..
Canada,60.0,-95.0,Battle-related deaths (number of people),VC.BTL.DETH,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cayman Islands,19.5,-80.5,Battle-related deaths (number of people),VC.BTL.DETH,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,7.0,21.0,Battle-related deaths (number of people),VC.BTL.DETH,CAF,..,..,..,..,..,..,..,..,..,..,..,234,131,..,..,..,45,..,..,86,48,48,45,366,17,..,..,..
Chad,15.0,19.0,Battle-related deaths (number of people),VC.BTL.DETH,TCD,652,68,899,120,161,..,..,97,34,394,989,226,295,37,50,100,1250,69,991,135,4,..,..,..,..,275,..,..
Chile,-30.0,-71.0,Battle-related deaths (number of people),VC.BTL.DETH,CHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,35.0,105.0,Battle-related deaths (number of people),VC.BTL.DETH,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36,2,..,..,..,..,..,5,..,..
Colombia,4.0,-72.0,Battle-related deaths (number of people),VC.BTL.DETH,COL,501,725,1479,182,1123,823,1192,560,939,1374,1023,1072,2263,751,1234,1389,502,314,219,377,419,202,211,140,114,134,30,..
Comoros,-12.1667,44.25,Battle-related deaths (number of people),VC.BTL.DETH,COM,..,..,..,..,..,..,..,56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,10.0,-84.0,Battle-related deaths (number of people),VC.BTL.DETH,CRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
